🙁‍🔴‍🔴‍🔴	acne
😕‍🩹	adhesive_bandage
:<	angle_frown
:>	angle_smile
>:3	angry_cat_emoticon
👺	angry_demon
👿	angry_imp
😠‍😲	angry_shout
😠	angry
😠‍💢	angry2
⚫️‍➖‍⚫️	big_eyes
🔘‍➖‍🔘	big_pupils
🙂‍🙂	big_smile
🤑‍₿️‍₿️	bitcoin_eyes
🥴‍💞	biting_lip
😗‍🌹	biting_rose
🦯‍😮	blindfolded
😀‍👁‍👁	bloodshot_eyes
👀‍😀	bloodshot_right
😘	blow_kiss_wink
😙‍❤️	blow_kiss
😙‍🟣	blowing_gum
🤧	blowing_nose
😊	blush
:[	bracket_frown
:]	bracket_smile
😭‍💔‍💔‍💔	break_up
☹️‍💔‍💔	broken_heart_eyes
😭‍💔	floating_broken_heart
😟‍🟣‍👁	bruised_eye
😁‍🪥	brushing_teeth
😮‍💨‍🟢	burp
🤗‍❤️	care
:3	cat_emoticon
🐱	cat
😎‍🔳‍◻️‍🔳	clout_goggles
🤡	clown
🥶	cold_face
😬‍🧊	cold_face2
😰	cold_sweat
💧‍😧	cold_sweat2
🙂‍🙉	covering_ears
🙂‍👁‍👁‍🤚	covering_eye
🙂‍🙈	covering_eyes
🤠	cowboy
☹️‍〽️	cracked_head
↖️‍😀‍↘️	crazy_eyes
😀‍👁‍👁	creepy_smile
➡️‍😀‍⬅️	cross_eyed
😢	cry
🤬	cussing
😠‍🤬	cussing2
😵‍😷	dead_face_mask
😵‍👻	dead_ghost
😵‍🤕	dead_head_bandage
😵‍👃‍🩸	dead_nosebleed
😵	dead
😨‍⚪️‍⚫️	desolate
😧	despair
😦	despair2
⬛️‍➖‍◼️	different_eyes
😞	disappointed
🥸	disguised
😖‍👅	disgusted_tongue
😖	disgusted
😵‍💫‍💫	dizzy_star
😵‍💫	dizzy
🤤	drool
😔‍/️‍D️‍\\️	dunce
😋‍🍕	eating_pizza
😳‍➡️	embarassed
👁‍🗨‍〰️‍◼️‍⬛️	emo
😠‍🟢	envy
😀‍↗️	epic
🙂‍↗️	epic2
🤑‍€️‍€️	euro_tongue
👹	evil_demon
😈	evil_imp
🙂‍😠	evil
😮‍💨	exhale
🤯	exploding_head
🤨	eyebrow_raised
👁‍⚫️	eyepatch
😷‍⚪️	face_mask_white
😷	face_mask
😷‍🪟	face_shield
🟡	faceless
😣‍💨	fart
😨	fearful
😨‍🟡	fearful2
🥵‍🌡	fever
🙂‍🔥‍🔥	fire_eyes
😵‍🔥	flaming_face
😶‍😑	flat_eyes_mouthless
😑	flat_eyes
